"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Other small states","OSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","286506012651.129","299304826557.051","313550390002.875","327472157997.905","358153808411.484","379139619778.685","420526373055.87","463476819027.503","500383877088.595","513628457034.062","558877927929.995","603324158152.688","627011201366.733","647534769544.697","667747655444.21","683889289114.515","",
"Pacific island small states","PSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7003389045.70575","6959870855.05066","7308106000.39877","7476540325.3682","7839232368.03034","8138688080.87335","8439656560.55106","8321222219.5245","8472076782.79686","8931266626.47793","8840723169.77073","8966251230.56516","9183560687.57113","9342057557.43164","9744940261.08731","9923323415.69268","10142838086.6518","10225530355.3304","10400975320.5902","10233038739.4733","10540711938.572","10948688431.2233","11176015599.7785","11612726015.9083","12095909579.4927","12634261453.3509","",
"Post-demographic dividend","PST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27565923878188.6","27854320055163.6","28330239154933.2","28597255792037.5","29400104011230.3","30176605388219.1","31037547776970.1","32057366864747.2","32898284878688.7","34030787097890.6","35406662973861.1","35979905386432.4","36578748465895.6","37336679358636.4","38556778911792.8","39613310850297.1","40803655133710","41864027284990","41967235999155","40462825592992.6","41617196845889.9","42311137038986.1","42770883186697.5","43312092844131.5","44081628399908.1","44927892872414.5","",
"Pre-demographic dividend","PRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1005555370229.4","873452409262.292","891664764367.023","915023775178.07","927744413384.037","953774713931.89","1013370616695.18","1080193091732.7","1177905941980.4","1243082061229.21","1281009104366.19","1336209481895.83","1346033809867.02","1330221707296.76","1619195914690.54","1708662527268.57","1848469848392.36","1973197473141.35","2105022348179.51","2209073493489.71","2345460521501.16","2454753259853.14","2593783493581.29","2737690947535.41","2861251226050.23","2956420529791.91","",
"Small states","SST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","367366399264.344","381954560036.002","399482057442.561","418912608596.3","453801669909.839","478197791859.138","526439179983.711","572769803027.34","611489022124.794","621062564184.797","668118444005.6","713974486041.799","739123588119.861","761937989154.511","783248769451.263","800212500570.002","",
"South Asia","SAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2109833088345.8","2152152058036.89","2276765715644.07","2374872045564.9","2517119528654.46","2690662832463.81","2873622289891.66","2979906180135.75","3143953894613","3384639558745.85","3522613386971.79","3672630720447.21","3808455555400.2","4081825065006.19","4389884035112.69","4774950269802.23","5185637216328.62","5599791134925.26","5813582291073.04","6249858336105.47","6805165459975.61","7229061338795.21","7625484608145.64","8094625232836.37","8641380086973.6","9278304632400.6","",
"South Asia (IDA & IBRD)","TSA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2109833088345.8","2152152058036.89","2276765715644.07","2374872045564.9","2517119528654.46","2690662832463.81","2873622289891.66","2979906180135.75","3143953894613","3384639558745.85","3522613386971.79","3672630720447.21","3808455555400.2","4081825065006.19","4389884035112.69","4774950269802.23","5185637216328.62","5599791134925.26","5813582291073.04","6249858336105.47","6805165459975.61","7229061338795.21","7625484608145.64","8094625232836.37","8641380086973.6","9278304632400.6","",
"Sub-Saharan Africa","SSF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1297165778933.46","1299359468161.17","1283093697405.29","1287351959024.9","1310142338234.67","1352043541963.79","1424369830098.25","1476776903784.96","1515620207094.54","1550670461586.55","1606759858044.47","1673327530304.01","1723488838388.56","1810929943722.73","2031882802956.96","2143846980005.54","2295227173411.4","2457041158090.29","2592388538867.98","2678047059503.1","2830339908809.38","2957618500538.8","3070345213377.64","3224406980096.09","3381886469705.79","3491883300520.7","",
"Sub-Saharan Africa (excluding high income)","SSA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1296176491443.24","1298342456761.89","1282002502232.87","1286192394474.93","1308992365521.18","1350903590624.91","1423173879703.29","1475436720468.96","1514166551032.5","1549189659705.16","1605256957584.5","1671859775790.4","1722003575949.07","1809533976694.69","2030529305528.08","2142370891985.79","2293611748701.42","2455256622600.34","2590644163620.98","2676322048912.02","2828512169141.83","2955646530561.72","3068242703052.86","3222177199544.42","3379582842617.25","3489499053189.7","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1297165778933.46","1299359468161.17","1283093697405.29","1287351959024.9","1310142338234.67","1352043541963.78","1424369830098.25","1476776903784.96","1515620207094.54","1550670461586.55","1606759858044.47","1673327530304.01","1723488838388.56","1810929943722.73","2031882802956.96","2143846980005.54","2295227173411.4","2457041158090.29","2592388538867.98","2678047059503.1","2830339908809.38","2957618500538.8","3070345213377.64","3224406980096.09","3381886469705.79","3491883300520.7","",
